Time,Per-flow Cost,Recompute Cost,Heuristic Cost
0,29600,11800,11400
1,28712,11312,11880
2,28416,11216,12744
3,29896,11696,13608
4,29896,11696,14672
5,29896,11896,11696
6,27528,10528,11888
7,28416,11216,12560
8,27528,11128,12848
9,26344,10344,12848
10,25160,10360,10560
11,24272,9672,10752
12,23976,10248,11136
13,22792,9464,11136
14,23976,10176,12000
15,22496,9472,9672
16,23680,9680,10256
17,23976,10152,10832
18,23680,9480,11408
19,24272,9672,11600
20,25160,10760,10360
21,24272,10272,10648
22,26048,10448,11320
23,28120,11120,12088
24,27232,10832,12376
25,27528,10928,10928
26,28120,11520,11600
27,26640,10640,11888
28,26344,10544,12080
29,24864,10264,12464
30,23680,9280,9280
31,24272,9672,9664
32,25456,10056,10144
33,26048,10248,10816
34,23680,9480,10816
35,21904,8704,8704
36,22496,9296,9184
37,23384,8784,9472
38,22792,9592,10240
39,22200,8800,10624
40,20720,7720,7920
41,18648,7248,8016
42,20128,7928,8592
43,19536,7736,9264
44,22496,8696,10224
45,21904,8704,8304
46,22792,9392,8984
47,25160,9960,9944
48,26344,10344,10808
49,25456,10056,11384
50,24864,10064,9864
51,26640,10840,10536
52,25160,9960,10632
53,25160,10160,10920
54,25160,9960,11016
55,27232,10832,11032
56,26640,10640,11808
57,24864,10264,12096
58,25160,9560,12672
59,24864,9864,13152
