Graph,Number of Flows,Naive Cost,Optimized Cost
Erdos-Renyi,0,0,0
Erdos-Renyi,10000,2960000,963200
Erdos-Renyi,20000,5920000,1923200
Erdos-Renyi,30000,8880000,2883200
Erdos-Renyi,40000,11840000,3843200
Erdos-Renyi,50000,14800000,4803200
Erdos-Renyi,60000,17760000,5763200
Erdos-Renyi,70000,20720000,6723200
Erdos-Renyi,80000,23680000,7683200
Erdos-Renyi,90000,26640000,8643200
Erdos-Renyi,100000,29600000,9603200
Waxman,0,0,0
Waxman,10000,2960000,960400
Waxman,20000,5920000,1920400
Waxman,30000,8880000,2880400
Waxman,40000,11840000,3840400
Waxman,50000,14800000,4800400
Waxman,60000,17760000,5760400
Waxman,70000,20720000,6720400
Waxman,80000,23680000,7680400
Waxman,90000,26640000,8640400
Waxman,100000,29600000,9600400
