Type of graph,Number of switches,Calculation Time (ms),Times
Erdos-Renyi,200,115311.667055008,0
Erdos-Renyi,200,114989.40340100671,1
Erdos-Renyi,200,112711.53531901655,2
Waxman,200,233.00164201646112,0
Waxman,200,382.4430310050957,1
Waxman,200,477.8821630170569,2
Erdos-Renyi,400,245894.40059300978,0
Erdos-Renyi,400,245987.35776697868,1
Erdos-Renyi,400,237507.43024301482,2
Waxman,400,13664.692210004432,0
Waxman,400,12257.757940999,1
Waxman,400,12505.648243997712,2
Erdos-Renyi,600,366388.6389239924,0
Erdos-Renyi,600,380460.02740599215,1
Erdos-Renyi,600,380876.74747101846,2
Waxman,600,93390.69143601228,0
Waxman,600,89841.67684201384,1
Waxman,600,90042.25487299846,2
Erdos-Renyi,800,579687.5877319835,0
Erdos-Renyi,800,571549.6029439964,1
Erdos-Renyi,800,560300.2707250125,2
Waxman,800,228034.0799560072,0
Waxman,800,222811.93232300575,1
Waxman,800,219261.5724010102,2
Erdos-Renyi,1000,765508.1553949858,0
Erdos-Renyi,1000,781613.524254004,1
Erdos-Renyi,1000,732206.7988169729,2
Waxman,1000,502800.5062970042,0
Waxman,1000,512164.92960599135,1
Waxman,1000,504016.578373994,2
Erdos-Renyi,1200,881159.132929024,0
Erdos-Renyi,1200,921229.0277550055,1
Erdos-Renyi,1200,848076.8304700032,2
Waxman,1200,867178.4566350107,0
Waxman,1200,896120.2617179952,1
Waxman,1200,788313.7200070196,2
Erdos-Renyi,1400,1024973.9005540032,0
Erdos-Renyi,1400,1032984.5131789916,1
Erdos-Renyi,1400,1034565.3006780194,2
Waxman,1400,1360484.7646570124,0
Waxman,1400,1357092.368024023,1
Waxman,1400,1354655.1695100206,2
Erdos-Renyi,1600,1189953.4143250203,0
Erdos-Renyi,1600,1197632.169841032,1
Erdos-Renyi,1600,1164340.072120016,2
Waxman,1600,1788874.792636023,0
Waxman,1600,1765022.0092220115,1
Waxman,1600,1755798.7508350052,2
Erdos-Renyi,1800,1289652.3157589836,0
Erdos-Renyi,1800,1320199.574037979,1
Erdos-Renyi,1800,1279070.3489859588,2
Waxman,1800,1769423.1004029862,0
Waxman,1800,1857822.60240498,1
Waxman,1800,1759091.5549600031,2
Erdos-Renyi,2000,1495084.232809022,0
Erdos-Renyi,2000,1567061.6541840136,1
Erdos-Renyi,2000,1524703.6930670147,2
Waxman,2000,856527.1720550372,0
Waxman,2000,789350.9400080075,1
Waxman,2000,783159.3034190009,2
